Date,Close,Volume,Open,High,Low,Range,prev_day_close,vix_open,vix_close,vix_range
2016-12-28,119.88,17957390,121.06,121.19,119.795,1.1577484075772317,119.71,11.89,12.95,9.562073121735633
2016-12-27,120.82,16072010,120.44,121.52,120.41,0.917620799404786,119.88,12.26,11.99,4.054613156805959
2016-12-23,120.2,9001276,119.96,120.25,119.81,0.3665750229109371,120.82,11.38,11.44,3.9723661485319592
2016-12-22,120.12,16618060,120.46,120.5,119.65,0.7078909015198787,120.2,11.32,11.43,4.647084612012269
2016-12-21,120.46,7052539,120.57,120.68,120.19,0.40685847137460796,120.12,11.44,11.27,4.99553969669938
2016-12-20,120.55,11458940,120.43,120.77,120.33,0.3649937785151371,120.46,11.65,11.45,3.199308257674009
2016-12-19,120.09,21119640,119.74,120.83,119.55,1.0649804476245952,120.55,12.5,11.71,7.027697395618021
2016-12-16,119.6,26244210,120.28,120.5817,119.36,1.0183307028332287,120.09,12.88,12.2,6.374501992031864
2016-12-15,120.4,22266270,120.37,121.11,120.08,0.8540984286247366,119.6,13.07,12.79,6.070038910505831
2016-12-14,120.21,28616170,120.56,121.0,119.86,0.9466079880428468,120.4,12.88,13.19,7.035175879396986
2016-12-13,120.46,54391480,119.35,121.11,119.32,1.4889988770120253,120.21,12.46,12.72,8.385093167701864
2016-12-12,118.96,23218110,118.95,119.21,118.47,0.6226859643217728,120.46,12.23,12.64,5.714285714285706
2016-12-09,119.5,21835180,119.03,119.5402,119.0,0.4529215620679438,118.96,12.59,11.75,8.610086100861015
2016-12-08,118.57,18552220,118.4,118.87,118.18,0.582155663362158,119.5,12.1,12.64,17.004048582995946
2016-12-07,118.36,26593360,116.64,118.51,116.2919,1.8893373520401726,118.57,11.59,12.22,7.721680101824354
2016-12-06,116.88,27280220,116.88,117.08,116.39,0.5910823660427444,118.36,12.19,11.79,6.375838926174509
2016-12-05,116.6,21401540,116.32,117.06,115.77,1.1081046256925708,116.88,13.75,12.14,12.582014666152059
